id,product,product_asin,review_title,rating,date,location,flavor,size,type
4a1ff803475f76f71faff87b82d4836b,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Worth it,5.0,2024-08-01,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
a951cff44e544f591404b180d65460ea,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Amazing ingredients,5.0,2024-07-15,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
4542d0c17d323c7a942eded4a7743eca,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Great alternative antacid,5.0,2024-07-12,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
dec164cbd930c7e42e1d563c07cdebfc,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,works better!!!!,5.0,2024-07-10,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
750a3d1fe472f6a680d45790a66cab7c,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Tummy,5.0,2024-07-08,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
59190f416786973c6442ba193d0cdeaa,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,These are adult size better for kids if cut in half,5.0,2024-05-08,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
8714c098cf731d4f696dcda77a167d71,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Taste Great!,5.0,2024-05-06,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
00d99d3e55e8077d7f77719671f9a35d,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Works as well as other name brand products,5.0,2024-04-20,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
750de02479f2828cc2e23984994aafbd,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Best choice,5.0,2024-04-04,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
614ab2cbbd794df4029cdcfc815145a9,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Works,5.0,2024-03-07,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
98c6923c1c7bae60bd06a392594b1684,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Great taste and no junk!,5.0,2024-03-02,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
391cc1bd2eaeec4636ff59064961c7a4,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,They work!,5.0,2024-02-19,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
454bfda58d6626a5183717bfd2ccb01d,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,An antacid more natural,5.0,2024-02-13,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
04b46c7d3a47b11cf23d456110ab37c9,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Love the clean ingredients!,5.0,2024-02-09,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
c7d91df74fc9c7cb53d5f904cac0acc3,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,What's with the price increase?,5.0,2024-02-09,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
760435b9dec1c9af27bdba65f6084d20,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,3x price since 2022,5.0,2024-01-25,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
1f8471292d57e615d66b72801adf0f04,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Antacid,5.0,2024-01-20,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
